taxon_id	taxon_name	taxon_rank	taxon_clade	phylum	subphylum	class	subclass	order	suborder	superfamily	family	taxon_subfamily	taxon_genus	taxon_subgenus	pbdb_taxon_no	max_length	max_vol	fad_int	lad_int	fad_age	lad_age	tiering	motility	feeding	ecospace	extant	fauna	fluid	respOrgan	circ
51246	Analectis	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Analectis		35826	50	1615.9630584338	Rupelian	Rupelian	33.9	28.1					f	modern	water	dedicated	closed
49626	Ateleopus	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Ateleopus		35827	950	7578651.1832536	Langhian	Holocene	15.97	0	3	1	5	315	t	modern	water	dedicated	closed
42294	Bajaichthys	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Bajaichthys		35828	40	851.5565114659	Lutetian	Bartonian	47.8	38					f	modern	water	dedicated	closed
39289	Bathysoma	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Bathysoma		35829	62.5	3066.5452862635	Danian	Danian	66	61.6					f	modern	water	dedicated	closed
55112	Danatinia	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Danatinia		35830	140	31057.950740317	Thanetian	Thanetian	59.2	56					f	modern	water	dedicated	closed
49989	Lampris	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Lampris		35832	2000	254716981.13208	Tortonian	Holocene	11.62	0					t	modern	water	dedicated	closed
51247	Protolophotus	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Protolophotus		35834	420	727671.3453474	Rupelian	Holocene	33.9	0					t	modern	water	dedicated	closed
55114	Turkmene	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Turkmene		35835	110	15541.365061576	Thanetian	Thanetian	59.2	56					f	modern	water	dedicated	closed
42295	Velifer	genus	Acanthomorpha	Chordata		Actinopterygii		Lampridiformes					Velifer		35836	400	632562.05076054	Lutetian	Bartonian	47.8	38					t	modern	water	dedicated	closed
55090	Asineops	genus	Acanthomorpha	Chordata		Actinopterygii							Asineops		35638	130	25105.803313922	Thanetian	Bartonian	59.2	38					f	modern	water	dedicated	closed
42231	Blochius	genus	Acanthomorpha	Chordata		Actinopterygii							Blochius		35639	600	2026010.5780907	Lutetian	Bartonian	47.8	38					f	modern	water	dedicated	closed
41938	Homorhynchus	genus	Acanthomorpha	Chordata		Actinopterygii							Homorhynchus		35643	810	4795297.7304045	Lutetian	Rupelian	47.8	28.1					f	modern	water	dedicated	closed
41939	Palaeorhynchus	genus	Acanthomorpha	Chordata		Actinopterygii							Palaeorhynchus		35645	600	2026010.5780907	Lutetian	Burdigalian	47.8	15.97					f	modern	water	dedicated	closed
39005	Pharmacichthys	genus	Acanthomorpha	Chordata		Actinopterygii							Pharmacichthys		35646	40	851.5565114659	Cenomanian	Cenomanian	100.5	93.9					f	modern	water	dedicated	closed
36833	Acipenser	genus	Acipenseristomi	Chordata		Actinopterygii	Chondrostei	Acipenseriformes	Acipenseroidei		Acipenseridae	Acipenserinae	Acipenser		35128	6100	769811320.75472	Campanian	Holocene	83.6	0	3	1	5	315	t	modern	water	dedicated	closed
53266	Huso	genus	Acipenseristomi	Chordata		Actinopterygii	Chondrostei	Acipenseriformes	Acipenseroidei		Acipenseridae	Husinae	Huso		35129	5600	1954716981.1321	Zanclean	Holocene	5.333	0	3	1	5	315	t	modern	water	dedicated	closed
40696	Compsaster	genus	Ambulacralia	Echinodermata	Asterozoa	Asteroidea	Ambuloasteroidea	Platyasterida	Uractinina		Compsasteridae		Compsaster		31393	34.7	14995.317234797	Emsian	Serpukhovian	407.6	323.2	3	2	5	325	f	paleozoic	water	multi	open
40669	Hystrigaster	genus	Ambulacralia	Echinodermata	Asterozoa	Asteroidea		Hemizonida			Helianthasteridae		Hystrigaster		31381	45.84	31931.022332266	Emsian	Emsian	407.6	393.3	3	2	0		f	paleozoic	water	multi	open
40670	Palaeosolaster	genus	Ambulacralia	Echinodermata	Asterozoa	Asteroidea		Hemizonida			Palasterinidae		Palaeosolaster		31385	145.74840878209	737911.28362927	Emsian	Emsian	407.6	393.3	3	2	0		f	paleozoic	water	multi	open
46029	Taeniactis	genus	Ambulacralia	Echinodermata	Asterozoa	Asteroidea		Hemizonida			Taeniactinidae		Taeniactis		31387	16.146666666667	2149.577	Rhuddanian	Telychian	443.4	433.4	3	2	0		f	paleozoic	water	multi	open
50281	Calliasterella	genus	Ambulacralia	Echinodermata	Asterozoa	Asteroidea		Platyasterida	Uractinina		Calliasterellidae		Calliasterella		31391	181.2	1332593.9107081	Moscovian	Kasimovian	315.2	303.7	3	2	5	325	f	paleozoic	water	multi	open
